prompt,opposite_sent,completion
 Wolves have teeth. Wolves don't have , Wolves have ,['teeth']
 The world has water. The world doesn't have , The world has ,"['water', 'life', 'mountains', 'continents', 'ecosystems', 'oceans']"
 A zebra has eyes. A zebra doesn't have , A zebra has ,"['eyes', 'stripes']"
 A zebra has a eyes. A zebra doesn't have a , A zebra has a ,"['eyes', 'stripes']"
 Zebras have stripes. Zebras don't have , Zebras have ,['stripes']
 A map is for navigate. A map isn't for , A map is for ,"['navigate', 'orienteering', 'navigating', 'information', 'locating']"
 Thinking is for praying. Thinking isn't for , Thinking is for ,"['praying', 'geussing', 'projects', 'organizing', 'animals', 'reasoning', 'survival', 'being', 'deducing', 'predicting', 'entertainment', 'creativity', 'resolving', 'everyone', 'articulating', 'imaginging', 'synthesizing', 'sorting', 'pondering', 'robots', 'fun', 'learning', 'synchronizing', 'deliberating', 'AI', 'dogs', 'solving', 'reason', 'adapting', 'people', 'wondering', 'understanding']"
 A graveyard is for flowers. A graveyard isn't for , A graveyard is for ,"['flowers', 'burial', 'headstones', 'mourners']"
 Toilet is for pooping. Toilet isn't for , Toilet is for ,"['pooping', 'peeing', 'poop', 'shitting', 'waste', 'urinate']"
 Dancing is for some Fun. Dancing isn't for some , Dancing is for some ,"['Fun', 'performing', 'entertainment', 'people', 'pleasure', 'performance', 'ballerinas', 'exercise', 'celebration', 'flirting', 'socializing']"
 A yoyo is for entertainment. A yoyo isn't for , A yoyo is for ,"['entertainment', 'sleeping', 'enjoyment', 'spinning', 'play']"
 A bomb is for war. A bomb isn't for , A bomb is for ,"['war', 'kill', 'terror', 'detonate', 'terrorism', 'disposal', 'protesting', 'defusing', 'bombard', 'exploding', 'destruction']"
 A snowflake is for sledding. A snowflake isn't for , A snowflake is for ,"['sledding', 'snowballs', 'decoration', 'snowpeople', 'skiing', 'percipitation']"
 A cloud is for sleet. A cloud isn't for , A cloud is for ,"['sleet', 'thunder', 'rain', 'oscure', 'snow', 'weather', 'hail', 'dreaming', 'shade']"
 Procreating is for pleasure. Procreating isn't for , Procreating is for ,"['pleasure', 'sex', 'reproducing', 'fun', 'multiplying', 'evolution']"
 A stone is for a weight. A stone isn't for a , A stone is for a ,"['weight', 'throw', 'throwing', 'tossing']"
 Reproducing is for cloning. Reproducing isn't for , Reproducing is for ,"['cloning', 'adding', 'improvement', 'replicating', 'copying', 'reproduction', 'distributing', 'procreating', 'populating']"
 A fruit is for decoration. A fruit isn't for , A fruit is for ,"['decoration', 'eat', 'paring', 'cooking', 'eating', 'garnish', 'consumption']"
 Remembering is for sadness. Remembering isn't for , Remembering is for ,"['sadness', 'recalling', 'love', 'relating', 'thinking', 'comparing', 'knowing', 'happiness', 'reminicing', 'memory', 'learning']"
 An eye is for viewing. An eye isn't for , An eye is for ,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
 There is a relationship between light and seeing. There isn't a relationship between light and , There is a relationship between light and ,"['seeing', 'light', 'reading', 'sight', 'illumination']"
 Cake has sweet mixing. Cake doesn't have sweet , Cake has sweet ,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
 A muscle is for flexing. A muscle isn't for , A muscle is for ,"['flexing', 'constricting', 'walking', 'extension', 'lifting', 'moving', 'rotation', 'flexion', 'eating', 'walk']"
 A castle is for touring. A castle isn't for , A castle is for ,"['touring', 'fun', 'kings', 'exploring']"
 A pill is for vitamins. A pill isn't for , A pill is for ,"['vitamins', 'medicine', 'medication', 'headaches']"
 A village is for Learning. A village isn't for , A village is for ,"['Learning', 'Sleeping', 'Playing']"
 A refill is for softdrinks. A refill isn't for , A refill is for ,"['softdrinks', 'replenish', 'orders', 'soda', 'tea', 'prescriptions', 'coffee', 'liqour']"
 A curb is for a roads. A curb isn't for a , A curb is for a ,['roads']
 Call is a type of communication. Call isn't a type of , Call is a type of ,"['communication', 'contact', 'communicating', 'communicate']"
 A theatre is for war. A theatre isn't for , A theatre is for ,"['war', 'movies', 'demonstration', 'events', 'audiences', 'performances', 'conferences', 'plays']"
 A baritone is for singing. A baritone isn't for , A baritone is for ,"['singing', 'Blowing', 'music', 'Saxing']"
 Kissing is for Fun. Kissing isn't for , Kissing is for ,"['Fun', 'love', 'soothing', 'lovers', 'affection', 'adults', 'foreplay', 'symbolism', 'bonding', 'friendship', 'closeness', 'kinship']"
 A wing is for aerodynamics. A wing isn't for , A wing is for ,"['aerodynamics', 'raise', 'fly', 'flapping', 'airplanes', 'flying', 'flight', 'birds', 'aircraft']"
 A roadway is for traveling. A roadway isn't for , A roadway is for ,"['traveling', 'cars', 'cyclists', 'motorbikes']"
 Learning is for interest. Learning isn't for , Learning is for ,"['interest', 'education', 'maturing', 'preparation', 'everyone', 'improving', 'survival', 'money', 'knowing', 'advancing', 'fun', 'growing', 'dogs']"
 A bathroom is for pooping. A bathroom isn't for , A bathroom is for ,"['pooping', 'shaving', 'peeing', 'grooming', 'washing', 'primping', 'oblutions']"
 Jewelry is for wearing. Jewelry isn't for , Jewelry is for ,"['wearing', 'decoration', 'status', 'adornment']"
 A caliper is for measuring. A caliper isn't for , A caliper is for ,['measuring']
 A rule is for consistency. A rule isn't for , A rule is for ,"['consistency', 'ruling', 'understanding']"
 A bishop is for chess. A bishop isn't for , A bishop is for ,"['chess', 'religion', 'kill']"
 Socialising is for friends. Socialising isn't for , Socialising is for ,"['friends', 'schmoozing', 'parties', 'networking', 'friendship', 'fun']"
 A mall is for eating. A mall isn't for , A mall is for ,"['eating', 'shop', 'walking', 'shopping']"
 A seat is for relax. A seat isn't for , A seat is for ,"['relax', 'waiting', 'reclining', 'comfort', 'relaxing', 'resting']"
 A train is for riding. A train isn't for , A train is for ,['riding']
 A loft is for sleeping. A loft isn't for , A loft is for ,['sleeping']
 A bureau is for drawers. A bureau isn't for , A bureau is for ,"['drawers', 'storage', 'clothing', 'sachets', 'keepsakes']"
 A cube is for play. A cube isn't for , A cube is for ,['play']
 A barbecue is for a summertime. A barbecue isn't for a , A barbecue is for a ,"['summertime', 'dinner', 'cooks', 'cook', 'families']"
 Skiing is a type of sport. Skiing isn't a type of , Skiing is a type of ,"['sport', 'thrills', 'entertainment', 'pleasure', 'enjoyment', 'excitement', 'exersize', 'relaxation', 'winter', 'exercise', 'fun', 'competition', 'recreation']"
 A tile is for flooring. A tile isn't for , A tile is for ,"['flooring', 'art', 'decoration', 'build']"
 A gold is for jewellry. A gold isn't for , A gold is for ,"['jewellry', 'jewelry', 'decoration', 'CPU']"
 A boulevard is for travel. A boulevard isn't for , A boulevard is for ,"['travel', 'walk', 'strolling', 'traffic']"
 A restaurant is for dinner. A restaurant isn't for , A restaurant is for ,"['dinner', 'dining', 'drinking', 'eat', 'relaxing', 'eating', 'socializing', 'guests', 'partying']"
 A necklace is for decoration. A necklace isn't for , A necklace is for ,"['decoration', 'show', 'decorate', 'choke', 'jewelry', 'gifts', 'vanity', 'adornment']"
 Bread is for tearing. Bread isn't for , Bread is for ,"['tearing', 'sandwiches', 'pudding', 'buttering', 'Toasting', 'eating', 'nutrition', 'consumption', 'baking']"
 A brother is for loving. A brother isn't for , A brother is for ,"['loving', 'pestering', 'friendship']"
 A courthouse is for judges. A courthouse isn't for , A courthouse is for ,['judges']
 Sign is a type of display. Sign isn't a type of , Sign is a type of ,"['display', 'identification', 'orientation', 'advertisments', 'direction', 'advertising', 'directions']"
 A piano is for entertainment. A piano isn't for , A piano is for ,"['entertainment', 'listening', 'music', 'decoration', 'playing', 'teaching']"
 A kitchenette is for cooking. A kitchenette isn't for , A kitchenette is for ,"['cooking', 'cook']"
 Gas is for balloons. Gas isn't for , Gas is for ,"['balloons', 'light', 'heat', 'burning', 'fuel', 'farting', 'cooking', 'exploding', 'burping', 'heating']"
 A leather is for shoes. A leather isn't for , A leather is for ,"['shoes', 'belts', 'whips', 'tanning']"
 A cymbal is for banging. A cymbal isn't for , A cymbal is for ,"['banging', 'percussion']"
 A party is for dancing. A party isn't for , A party is for ,"['dancing', 'reunions', 'politics', 'relaxing', 'celebration', 'recreation']"
 Eye has viewing. Eye doesn't have , Eye has ,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
 A nose is for breathe. A nose isn't for , A nose is for ,"['breathe', 'breathing', 'picking', 'breaking', 'piercing']"
 A mayor is for leadership. A mayor isn't for , A mayor is for ,"['leadership', 'direction', 'govern', 'help', 'council']"
 A bowl is for apples. A bowl isn't for , A bowl is for ,"['apples', 'serve', 'cereal', 'hold', 'grapes', 'Wheaties', 'Sugar', 'soup']"
 A diamond is for an ever. A diamond isn't for an , A diamond is for an ,"['ever', 'cutting', 'giving', 'show', 'jewelry', 'drill']"
 A mill is for pulverizing. A mill isn't for , A mill is for ,"['pulverizing', 'crunch', 'crush', 'mill', 'dispensing', 'grinding', 'shaping', 'flour', 'crushing']"
 Surveillance is for blackmailing. Surveillance isn't for , Surveillance is for ,['blackmailing']
 A field is for ploughing. A field isn't for , A field is for ,"['ploughing', 'walking']"
 A cake is for mixing. A cake isn't for , A cake is for ,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
 A skylight is for the lighting. A skylight isn't for the , A skylight is for the ,['lighting']
 A piccolo is for playing. A piccolo isn't for , A piccolo is for ,['playing']
 A landmark is for viewing. A landmark isn't for , A landmark is for ,"['viewing', 'noticing', 'learn', 'orientation', 'navigate', 'visiting', 'admiring']"
 A voyage is for travel. A voyage isn't for , A voyage is for ,['travel']
 A tablecloth is for decoration. A tablecloth isn't for , A tablecloth is for ,['decoration']
 A solicitor is for conveyancing. A solicitor isn't for , A solicitor is for ,"['conveyancing', 'litigation']"
 Reading is for enlightenment. Reading isn't for , Reading is for ,"['enlightenment', 'entertainment', 'pleasure', 'education', 'enjoyment', 'relaxation', 'research', 'studying', 'knowing', 'fun', 'acculturation', 'understanding']"
 Tweed is for trousers. Tweed isn't for , Tweed is for ,"['trousers', 'hats', 'loosers']"
 A space is for storage. A space isn't for , A space is for ,"['storage', 'seperation', 'occupying', 'filling', 'parking']"
 An apple is for dessert. An apple isn't for , An apple is for ,"['dessert', 'computing', 'eating', 'munching', 'pie']"
 Trix is for kids. Trix isn't for , Trix is for ,['kids']
 Crop is corn growing. Crop isn't corn , Crop is corn ,"['growing', 'eating', 'nutrition', 'planting', 'baking']"
 A trunk is for storage. A trunk isn't for , A trunk is for ,"['storage', 'support']"
 Dancing is for Fun. Dancing isn't for , Dancing is for ,"['Fun', 'performing', 'entertainment', 'people', 'pleasure', 'performance', 'ballerinas', 'exercise', 'celebration', 'flirting', 'socializing']"
 Scenery is for watch. Scenery isn't for , Scenery is for ,"['watch', 'relax', 'enjoying']"
 A cake is for a mixing. A cake isn't for a , A cake is for a ,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
 Silk is for boxers. Silk isn't for , Silk is for ,"['boxers', 'clothing', 'bedsheets', 'shirts', 'nighties', 'slips', 'fingernails']"
 Literature is for read. Literature isn't for , Literature is for ,"['read', 'entertainment', 'pleasure', 'remembering', 'illustrate', 'education', 'studying', 'reading', 'relaxing', 'teaching', 'learning']"
 Marijuana is for pleasure. Marijuana isn't for , Marijuana is for ,"['pleasure', 'fun', 'entertainment']"
 Spoon is for Drinking. Spoon isn't for , Spoon is for ,"['Drinking', 'flinging', 'eat', 'Eating']"
 A voice is for communication. A voice isn't for , A voice is for ,"['communication', 'shout', 'whispering', 'remembering', 'Talking', 'shouting', 'communicate', 'Singing', 'sing', 'Commmunicating', 'recording', 'humming', 'communicating']"
 A metal is for casting. A metal isn't for , A metal is for ,"['casting', 'machining', 'machinery', 'strength', 'melting']"
 Literature is type read. Literature isn't type , Literature is type ,"['read', 'entertainment', 'pleasure', 'remembering', 'illustrate', 'education', 'studying', 'reading', 'relaxing', 'teaching', 'learning']"
 Bread is wheat harvesting. Bread isn't wheat , Bread is wheat ,"['harvesting', 'food', 'flour', 'eating', 'cake']"
 A yard is for Measuring. A yard isn't for , A yard is for ,"['Measuring', 'playing', 'storage']"
 A column is for vehicles. A column isn't for , A column is for ,"['vehicles', 'decoration', 'support']"
 A runway is for airshows. A runway isn't for , A runway is for ,['airshows']
 A tooth is for tearing. A tooth isn't for , A tooth is for ,"['tearing', 'killing', 'frightening', 'straining', 'splitting', 'grinding', 'masticating', 'crushing', 'sawing', 'piercing', 'fillings', 'eating', 'ripping', 'griding', 'gripping', 'cavities']"
 Cleaning is for sanitation. Cleaning isn't for , Cleaning is for ,"['sanitation', 'cleanliness', 'tidiness', 'hygiene', 'organization']"
 Sewing is for fun. Sewing isn't for , Sewing is for ,"['fun', 'mending']"
 A shirt is for dressing. A shirt isn't for , A shirt is for ,"['dressing', 'wearing', 'uniformity', 'warmth', 'covering', 'advertisement']"
 A barbecue is for summertime. A barbecue isn't for , A barbecue is for ,"['summertime', 'dinner', 'cooks', 'cook', 'families']"
 A minibar is for dancing. A minibar isn't for , A minibar is for ,"['dancing', 'drink', 'drinking', 'sliding', 'beer', 'fighting', 'partying']"
 Fabric is for rags. Fabric isn't for , Fabric is for ,"['rags', 'Fibreglass', 'clothing', 'Curtains', 'sewing', 'upholstery', 'Sails']"
 Dreaming is for enlightenment. Dreaming isn't for , Dreaming is for ,"['enlightenment', 'predicting', 'yukon', 'fantasizing', 'fun', 'visualizing']"
 Sometimes reading a book causes enlightenment. Sometimes don't reading a book causes , Sometimes reading a book causes ,"['enlightenment', 'entertainment', 'pleasure', 'education', 'enjoyment', 'relaxation', 'research', 'studying', 'knowing', 'fun', 'acculturation', 'understanding']"
 A stage is for plays. A stage isn't for , A stage is for ,"['plays', 'bands', 'music', 'performances']"
 A rock is for throwing. A rock isn't for , A rock is for ,"['throwing', 'kicking', 'mining', 'decoration', 'gravel', 'hurling', 'hitting']"
 A lip is for pleasure. A lip isn't for , A lip is for ,"['pleasure', 'whistling', 'speak', 'suck', 'pouring', 'protect']"
 Eye is a type of viewing. Eye isn't a type of , Eye is a type of ,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
 Singing is for entertainment. Singing isn't for , Singing is for ,"['entertainment', 'celebrating', 'individuals', 'entertaining', 'enjoyment', 'lamenting', 'groups', 'birds', 'fun']"
 Childhhood is for playing. Childhhood isn't for , Childhhood is for ,['playing']
 A rifle is for war. A rifle isn't for , A rifle is for ,"['war', 'killing', 'murder', 'shooting', 'hunting', 'hunt', 'protection']"
 A text is for explaining. A text isn't for , A text is for ,"['explaining', 'study', 'reflection', 'analyzing', 'studying', 'stufying', 'teaching', 'learning']"
 A sofa is for relax. A sofa isn't for , A sofa is for ,"['relax', 'people', 'sleeping', 'comfort', 'relaxing', 'fucking', 'lounging', 'seat']"
 A revolver is for displaying. A revolver isn't for , A revolver is for ,"['displaying', 'firing', 'security', 'robbery', 'protection']"
 A dustbin is for rubbish. A dustbin isn't for , A dustbin is for ,"['rubbish', 'trash', 'garbage']"
 A university is where people learn. A university isn't where people , A university is where people ,"['learn', 'study', 'degree', 'research', 'cooperation', 'teaching', 'learning']"
 A lantern is for illumination. A lantern isn't for , A lantern is for ,"['illumination', 'light', 'decoration']"
 Painting is for refurbishing. Painting isn't for , Painting is for ,"['refurbishing', 'decorating', 'finishing', 'relaxing', 'Art', 'leisure', 'relaxation', 'pastime', 'growth', 'decoration', 'improving', 'artists', 'expression', 'aesthetics', 'recreation', 'tranquility']"
 A noise is for warning. A noise isn't for , A noise is for ,['warning']
 An arena is for meeting. An arena isn't for , An arena is for ,"['meeting', 'competitions', 'compete', 'concerts', 'fight', 'sports', 'competition', 'gatherings', 'fighting']"
 A spirit is for healing. A spirit isn't for , A spirit is for ,"['healing', 'religion', 'guidence', 'Haunting', 'drinking', 'celebrate', 'breaking', 'comradship']"
 Stone is a type of english weight. Stone isn't a type of english , Stone is a type of english ,"['weight', 'throw', 'throwing', 'tossing']"
 A mandolin is for tuning. A mandolin isn't for , A mandolin is for ,"['tuning', 'playing', 'entertain', 'music']"
 A mouth is for kissing. A mouth isn't for , A mouth is for ,"['kissing', 'talking', 'yelling', 'kiss', 'wistling', 'speaking', 'speak', 'blorking', 'mastication', 'breathing', 'drinking', 'frowning', 'singing', 'eating', 'smiling']"
 A monument is for recognition. A monument isn't for , A monument is for ,"['recognition', 'Show', 'decoration', 'Remembering', 'visit']"
 A temple is for Worship. A temple isn't for , A temple is for ,"['Worship', 'religion', 'praying', 'beauty', 'pray', 'Togetherness', 'worshipping', 'prayer']"
 A pool is for Resting. A pool isn't for , A pool is for ,"['Resting', 'drown', 'Drinking', 'gamble', 'relax', 'Bathing', 'join', 'play', 'Swimming', 'pee', 'Viewing', 'race', 'swiming', 'diving']"
 A faucet is for water. A faucet isn't for , A faucet is for ,['water']
 A clarinet is for buying. A clarinet isn't for , A clarinet is for ,"['buying', 'playing', 'selling']"
 A tearoom is for gossiping. A tearoom isn't for , A tearoom is for ,"['gossiping', 'conversation', 'socializing']"
 A chapel is for praying. A chapel isn't for , A chapel is for ,"['praying', 'christening', 'meditation', 'christians', 'sanctuary', 'worship', 'weddings', 'marrying', 'meditating', 'worshipping', 'prayer']"
 Flirting is for dating. Flirting isn't for , Flirting is for ,"['dating', 'fun', 'reproduction']"
 Skiing is for sport. Skiing isn't for , Skiing is for ,"['sport', 'thrills', 'entertainment', 'pleasure', 'enjoyment', 'excitement', 'exersize', 'relaxation', 'winter', 'exercise', 'fun', 'competition', 'recreation']"
 Research is a type of learning. Research isn't a type of , Research is a type of ,['learning']
 A harp is for melody. A harp isn't for , A harp is for ,"['melody', 'music', 'angels', 'relaxation', 'tuning', 'playing']"
 Resting is for  regrouping. Resting isn't for , Resting is for  ,"['regrouping', 'dreams', 'sleeping', 'peace', 'dreaming', 'relaxation', 'thinking', 'recuperating', 'refreshment', 'relaxing', 'rejuvenation', 'stopping', 'rejuvination']"
 A bed is for hold. A bed isn't for , A bed is for ,"['hold', 'convalesing', 'napping', 'reading', 'sleep', 'sex', 'resting']"
" Corn, grain, and maise are for growing. Corn, grain, and maise aren't for "," Corn, grain, and maise are for ","['growing', 'eating', 'nutrition', 'planting', 'baking']"
 A saloon is for socialising. A saloon isn't for , A saloon is for ,"['socialising', 'drink', 'cowboys', 'drinking', 'beer', 'socializing', 'fighting']"
 A cigaratte is for smoking. A cigaratte isn't for , A cigaratte is for ,['smoking']
 A pub is for drinking. A pub isn't for , A pub is for ,"['drinking', 'socialising', 'socializing', 'celebrating']"
 A sign is for display. A sign isn't for , A sign is for ,"['display', 'identification', 'orientation', 'advertisments', 'direction', 'advertising', 'directions']"
 A basket is for kittens. A basket isn't for , A basket is for ,"['kittens', 'buying', 'hold', 'include', 'yarn', 'selling']"
 A horse is for companionship. A horse isn't for , A horse is for ,"['companionship', 'ride', 'breeding', 'horsemeat', 'riding']"
 A billboard is for communication. A billboard isn't for , A billboard is for ,"['communication', 'advertisement', 'advertisment']"
 A chest is for belongings. A chest isn't for , A chest is for ,"['belongings', 'storage', 'play']"
 Bathing is for pleasure. Bathing isn't for , Bathing is for ,"['pleasure', 'relaxing', 'cleanliness', 'relaxation', 'cleansing', 'Washing']"
 A puzzle is for solving. A puzzle isn't for , A puzzle is for ,"['solving', 'entertainment', 'distraction', 'play', 'entertaintment', 'learning', 'enjoying']"
 Jogging is for yuppies. Jogging isn't for , Jogging is for ,"['yuppies', 'entertainment', 'exercising', 'exersize', 'vanity', 'exercise', 'toning', 'health']"
 A parkway is for driving. A parkway isn't for , A parkway is for ,"['driving', 'trasnportation', 'access']"
 Sand is for beaches. Sand isn't for , Sand is for ,"['beaches', 'sandboxes', 'hourglasses', 'sandblasting', 'sandcastles']"
 A canal is for travel. A canal isn't for , A canal is for ,"['travel', 'holidays', 'irrigation', 'division']"
 A bullet is for wounding. A bullet isn't for , A bullet is for ,"['wounding', 'murdering', 'killing', 'murder', 'shooting', 'hunting', 'shoot']"
 A dollar is for spending. A dollar isn't for , A dollar is for ,"['spending', 'saving', 'shopping']"
 A tree is for oxygen. A tree isn't for , A tree is for ,"['oxygen', 'nuts', 'beauty', 'decoration', 'wood', 'refuge', 'climbing', 'fruit', 'aesthetics', 'climb', 'shade']"
 A kitchen is for cooking. A kitchen isn't for , A kitchen is for ,"['cooking', 'cook', 'appliances']"
 A razor is for shaving. A razor isn't for , A razor is for ,"['shaving', 'cut', 'cutting', 'slicing', 'sucide', 'carving', 'shave']"
 A soprano is for description. A soprano isn't for , A soprano is for ,"['description', 'jazz', 'harmony', 'song']"
 A lion is for a hunting. A lion isn't for a , A lion is for a ,"['hunting', 'entertain']"
 A lobby is for talk. A lobby isn't for , A lobby is for ,"['talk', 'entry', 'elevators', 'rest', 'loiter', 'sit']"
 A pew is for prey. A pew isn't for , A pew is for ,"['prey', 'praying', 'kneeling']"
 A sword is for kill. A sword isn't for , A sword is for ,"['kill', 'stabbing', 'killing', 'wounding', 'intimidating', 'maiming', 'cutting', 'fencing', 'ceremony', 'sticking']"
 A sky is for dream. A sky isn't for , A sky is for ,"['dream', 'rain', 'fly', 'breathing', 'raining', 'falling', 'admire', 'clouds', 'breath', 'birds', 'daydreaming', 'stars']"
 A projectile is for throwing. A projectile isn't for , A projectile is for ,"['throwing', 'injuring', 'killing', 'catching', 'games', 'shooting', 'hit', 'propelling', 'strike', 'ejecting', 'shoot', 'hurling', 'launching']"
 An illness is for sinning. An illness isn't for , An illness is for ,"['sinning', 'rest']"
 A toothpick is for chewing. A toothpick isn't for , A toothpick is for ,['chewing']
 A silicone is for lubricants. A silicone isn't for , A silicone is for ,"['lubricants', 'entertainment', 'bonding', 'adhering', 'permanence', 'varnishes', 'glue']"
 Armor is a type of knights protection. Armor isn't a type of knights , Armor is a type of knights ,['protection']
 A teaspoon is for eating. A teaspoon isn't for , A teaspoon is for ,"['eating', 'measuring', 'stiring']"
 Carpeting is for floors. Carpeting isn't for , Carpeting is for ,"['floors', 'decoration', 'warmth', 'comfort', 'utility', 'insulation']"
 A divider is for clear sorting. A divider isn't for clear , A divider is for clear ,"['sorting', 'divide', 'seperation']"
 Ink is for printing. Ink isn't for , Ink is for ,"['printing', 'dyeing', 'drawing', 'tatooing', 'coloring', 'marking']"
 A card is for identification. A card isn't for , A card is for ,"['identification', 'christmas', 'games', 'flicking', 'studying', 'credit', 'business', 'introducing']"
 A den is for working. A den isn't for , A den is for ,"['working', 'hybernation', 'relax', 'animals', 'studying', 'hibernating', 'reading', 'resting']"
 A sound is for alerting. A sound isn't for , A sound is for ,"['alerting', 'listening', 'communicating', 'communicate']"
 Wheat is for harvesting. Wheat isn't for , Wheat is for ,"['harvesting', 'food', 'flour', 'eating', 'cake']"
 Wine is for Drinking. Wine isn't for , Wine is for ,"['Drinking', 'drinkin', 'relaxing', 'Storing', 'drink', 'Selling']"
 Surfing is for sport. Surfing isn't for , Surfing is for ,"['sport', 'thrills', 'entertainment', 'activity', 'pleasure', 'kids', 'enjoyment', 'surfers', 'challenge', 'exercise', 'fun', 'adventure', 'surfists']"
 A science is for chemistry. A science isn't for , A science is for ,"['chemistry', 'mathmatics', 'research', 'astronomy', 'discovery', 'geology']"
 An army is for wars. An army isn't for , An army is for ,"['wars', 'defense', 'protection']"
 A cam is for climbing. A cam isn't for , A cam is for ,['climbing']
 Salt is for season. Salt isn't for , Salt is for ,"['season', 'seasoning', 'survival', 'food']"
 Literature is for  a read. Literature isn't for a , Literature is for  a ,"['read', 'entertainment', 'pleasure', 'remembering', 'illustrate', 'education', 'studying', 'reading', 'relaxing', 'teaching', 'learning']"
 A stream is for rafting. A stream isn't for , A stream is for ,"['rafting', 'bathing', 'swimming', 'swim']"
 A crossroads is for turning. A crossroads isn't for , A crossroads is for ,['turning']
 A classroom is for congregating. A classroom isn't for , A classroom is for ,"['congregating', 'listening', 'Learning', 'teach', 'experimenting', 'education', 'participating', 'studying', 'teaching', 'classes']"
 A brook is for fishing. A brook isn't for , A brook is for ,"['fishing', 'life', 'babbling', 'scenary', 'fish']"
 Xanax is for fun. Xanax isn't for , Xanax is for ,"['fun', 'Anxiety']"
 An intersection is where two or more roads meet. An intersection isn't where two or more roads , An intersection is where two or more roads ,['meet']
 A weapon is for self-defense. A weapon isn't for , A weapon is for ,"['self-defense', 'defence', 'aggression', 'violence', 'self-defence', 'hunting', 'competition', 'punishment', 'destruction', 'protection']"
 Tickling is for a laughs. Tickling isn't for a , Tickling is for a ,"['laughs', 'elmo', 'fun', 'flirting', 'humor', 'play']"
 Head has hats. Head doesn't have , Head has ,"['hats', 'head-butting', 'thinking', 'beginning', 'think']"
 The Moon is for exploration. The Moon isn't for , The Moon is for ,"['exploration', 'romance', 'eclipsing', 'tides', 'observation', 'mystery']"
 A container is for washing. A container isn't for , A container is for ,"['washing', 'organization', 'containing']"
 Diving is for working. Diving isn't for , Diving is for ,"['working', 'exploration', 'pearls', 'pleasure', 'cover', 'relaxation', 'divers', 'exercise', 'fun', 'investigating', 'recreation', 'competition']"
 Skating is for entertainment. Skating isn't for , Skating is for ,"['entertainment', 'pleasure', 'relaxation', 'enjoyment', 'hockey', 'exercise', 'fun']"
 Cash is for hoarding. Cash isn't for , Cash is for ,"['hoarding', 'flaunting', 'impress', 'shopping']"
 Fencing is for entertainment. Fencing isn't for , Fencing is for ,"['entertainment', 'defense', 'competiton', 'exercise', 'fun', 'competition']"
 Council is a decide. Council isn't a , Council is a ,"['decide', 'judgement', 'talking']"
 An election is for choosing. An election isn't for , An election is for ,['choosing']
 Candles are for atmosphere. Candles aren't for , Candles are for ,['atmosphere']
 A boat is for recreation. A boat isn't for , A boat is for ,"['recreation', 'fishing', 'capsize', 'skiing', 'traveling', 'travel', 'watersports', 'sailing', 'travelling', 'floating', 'rowing', 'transport', 'launching', 'fishermen']"
 An ear is for earing. An ear isn't for , An ear is for ,"['earing', 'hearning', 'adornment']"
 An egg is for throwing. An egg isn't for , An egg is for ,"['throwing', 'food', 'nurturing', 'scrambling', 'breed', 'cooking']"
 A sidewalk is for surfing. A sidewalk isn't for , A sidewalk is for ,"['surfing', 'pedestrians', 'rollerblade']"
 A snare drum is for drum. A snare drum isn't for , A snare drum is for ,"['drum', 'music', 'beat', 'banging', 'rhythm', 'hitting']"
 A firebomb is for destuction. A firebomb isn't for , A firebomb is for ,['destuction']
 A garden is for a relaxation. A garden isn't for a , A garden is for a ,"['relaxation', 'decoration', 'relax']"
 A kite is for fun. A kite isn't for , A kite is for ,"['fun', 'entertainment', 'Playing', 'flying']"
 A bus is a form of mass transportation. A bus isn't a form of mass , A bus is a form of mass ,"['transportation', 'trip', 'transporation', 'traveling', 'travel', 'transport']"
 A border is for seperation. A border isn't for , A border is for ,"['seperation', 'accent']"
 A feather is for decoration. A feather isn't for , A feather is for ,"['decoration', 'flight']"
 Clock is a kind of wall clock. Clock isn't a kind of wall , Clock is a kind of wall ,"['clock', 'decoration', 'people']"
 A bookshelf is for bookends. A bookshelf isn't for , A bookshelf is for ,"['bookends', 'books', 'photographs', 'mementos', 'plants']"
 Swimming is for Fun. Swimming isn't for , Swimming is for ,"['Fun', 'pleasure', 'enjoyment', 'exersize', 'relaxation', 'fish', 'exercise', 'competition', 'recreation']"
 Smoke and soot are both gray or black in color. Smoke and soot aren't both gray or black in , Smoke and soot are both gray or black in ,['color']
 A wings is for furling. A wings isn't for , A wings is for ,"['furling', 'glide', 'soaring', 'fly', 'flapping', 'flying', 'eating']"
 A storm is for rain. A storm isn't for , A storm is for ,"['rain', 'raining', 'flooding', 'thundering']"
